name,slug,industry,trade,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,region
Donnie Underwood Plumbing,donnie-underwood-plumbing-abilene,home_services,plumber,"1441 Woodard St, Abilene, TX 79605",Abilene,(325) 698-4911,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=13140062934377190609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Storybook Plumbing Solutions,storybook-plumbing-solutions-abilene,home_services,plumber,"731 Walnut St, Abilene, TX 79601",Abilene,(325) 238-7320,http://storybookplumbingsolutions.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Abilene),https://maps.google.com/?cid=8897625315332443342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
T&T Plumbing,t-t-plumbing-abilene,home_services,plumber,"3478 Catclaw Dr #194, Abilene, TX 79606",Abilene,(325) 529-3162,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=257456628761728380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
The Plumbing Doctor,the-plumbing-doctor-abilene,home_services,plumber,"650 E N 22nd St, Abilene, TX 79601",Abilene,(325) 484-4090,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=13506022867915219778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
In-House Plumbing Company,in-house-plumbing-company-allen,home_services,plumber,"5903 Curtis Dr, Allen, TX 75002",Allen,(972) 992-1767,http://www.inhouseplumbingcompany.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Richardson),https://maps.google.com/?cid=15184127528122818688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Willis Plumbing Heating & AC,willis-plumbing-heating-ac-amarillo,home_services,plumber,"722 S Arthur St, Amarillo, TX 79102",Amarillo,(806) 374-4551,https://willisplumbing.co/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Amarillo),https://maps.google.com/?cid=792524721478005266&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Arlington Plumbing Co,arlington-plumbing-co-arlington,home_services,plumber,"1112 E Copeland Rd Ste 120, Arlington, TX 76011",Arlington,(682) 217-1114,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=4776198345230770325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Direct Source Plumbing,direct-source-plumbing-arlington,home_services,plumber,"3216 W Park Row Dr, Arlington, TX 76013",Arlington,(817) 561-6400,https://directsourceplumbing.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Arlington),https://maps.google.com/?cid=4680488713154941287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Quick Fix Plumbers Arlington TX,quick-fix-plumbers-arlington-tx-arlington,home_services,plumber,"2529 W Arkansas Ln, Arlington, TX 76016",Arlington,(817) 242-5538,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=9175752389454926306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Top Plumbing Experts Arlington,top-plumbing-experts-arlington-arlington,home_services,plumber,"801 E Park Row Dr, Arlington, TX 76010",Arlington,(682) 297-6526,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=10752348519835805561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
AAA AUGER Plumbing Services,aaa-auger-plumbing-services-austin,home_services,plumber,"8234 Ferguson Cutoff, Austin, TX 78724",Austin,(512) 928-0467,https://www.aaa-auger.com/austin/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Austin),https://maps.google.com/?cid=17693970885655317554&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
"Radiant Plumbing, Air Conditioning, & Electrical",radiant-plumbing-air-conditioning-electrical-austin,home_services,plumber,"901 Reinli St, Austin, TX 78751",Austin,(512) 690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Austin),https://maps.google.com/?cid=2775625716630810184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
MVP Plumbing LLC,mvp-plumbing-llc-baytown,home_services,plumber,"MVP PLUMBING LLC, 8015 Sugar Cane Dr, Baytown, TX 77523",Baytown,(832) 334-2836,https://mvpplumbingllc.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Baytown),https://maps.google.com/?cid=5864699292365475638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Young Plumbing & Heating,young-plumbing-heating-baytown,home_services,plumber,"301 N Commerce St, Baytown, TX 77520",Baytown,(281) 427-7401,http://www.youngplumbingcompany.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Baytown),https://maps.google.com/?cid=13743333230232414262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Hansen Plumbing Inc,hansen-plumbing-inc-beaumont,home_services,plumber,"1526 East Ln, Beaumont, TX 77713",Beaumont,(409) 866-2933,,no_website,google_places,approved,approved,TX batch — no_website (Beaumont),https://maps.google.com/?cid=1485349430536877836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Lyons Plumbing,lyons-plumbing-beaumont,home_services,plumber,"2197 Central Dr, Beaumont, TX 77706",Beaumont,(409) 673-2419,,no_website,google_places,approved,approved,TX batch — no_website (Beaumont),https://maps.google.com/?cid=10196801934595618216&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
N-Sink Plumbing and Drain Specialist,n-sink-plumbing-and-drain-specialist-beaumont,home_services,plumber,"1110 Calder Ave Ste 120, Beaumont, TX 77701",Beaumont,(409) 245-7153,https://getnsink.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Beaumont),https://maps.google.com/?cid=16916342973189785348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Noack Plumbing & Heating,noack-plumbing-heating-beaumont,home_services,plumber,"7525 College St, Beaumont, TX 77707",Beaumont,(409) 866-3500,,no_website,google_places,approved,approved,TX batch — no_website (Beaumont),https://maps.google.com/?cid=17163806415423401243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Premium Plumbing,premium-plumbing-beaumont,home_services,plumber,"1575 S 23rd St, Beaumont, TX 77707",Beaumont,(409) 842-0997,http://www.premiumplumbing.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Beaumont),https://maps.google.com/?cid=5835006773963512975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
J H PLUMBING LLC,j-h-plumbing-llc-boerne,home_services,plumber,"106 RUSTY LANE, BOERNE, TX 78006",Boerne,(210) 274-6497,,no_website,tsbpe_verified,approved,approved,TX batch — no_website (Boerne),https://maps.google.com/?cid=4146878297791869792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
ADVANTAGE PLUMBING CO,advantage-plumbing-co-borger,home_services,plumber,"618 N. FLORIDA ST., BORGER, TX 79007",Borger,(806) 395-8270,,no_website,tsbpe_verified,approved,approved,TX batch — no_website (Borger),https://maps.google.com/?cid=17333371608818803778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
A&S Plumbing,a-s-plumbing-brownsville,home_services,plumber,"6944 Wild Olive Ln, Brownsville, TX 78526",Brownsville,(956) 204-1645,,no_website,google_places,approved,approved,TX batch — no_website (Brownsville),https://maps.google.com/?cid=8846280326431006719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Caleb's Plumbing,caleb-s-plumbing-brownsville,home_services,plumber,"443 S Clubhouse Rd #317, Brownsville, TX 78521",Brownsville,(956) 302-9210,,no_website,google_places,approved,approved,TX batch — no_website (Brownsville),https://maps.google.com/?cid=15596277055663236448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
LOPEZ PLUMBING,lopez-plumbing-brownsville,home_services,plumber,"14 W 12th St, Brownsville, TX 78520",Brownsville,(956) 521-5906,,no_website,google_places,approved,approved,TX batch — no_website (Brownsville),https://maps.google.com/?cid=5483654201801053225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Ramirez Plumbing,ramirez-plumbing-brownsville,home_services,plumber,"580 N Dakota Ave, Brownsville, TX 78521",Brownsville,(956) 466-6638,,no_website,google_places,approved,approved,TX batch — no_website (Brownsville),https://maps.google.com/?cid=7976599050053133129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Redstar Plumbing & Heating,redstar-plumbing-heating-brownsville,home_services,plumber,"3505 Boca Chica Blvd #315, Brownsville, TX 78521",Brownsville,(956) 474-3657,https://redstarplumbingheating.com/brownsville-tx/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Brownsville),https://maps.google.com/?cid=13355848474112948202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Robert’s Repair Plumbing,robert-s-repair-plumbing-brownsville,home_services,plumber,"1844 El Cielo St, Brownsville, TX 78520",Brownsville,(956) 203-9993,https://linktr.ee/roberts_repair_plumbing,social_or_directory_only,google_places,approved,approved,TX batch — social_or_directory_only (Brownsville),https://maps.google.com/?cid=7310766451041223068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Torres Plumbing,torres-plumbing-brownsville,home_services,plumber,"1504 Zamora Dr, Brownsville, TX 78526",Brownsville,(956) 542-7243,,no_website,google_places,approved,approved,TX batch — no_website (Brownsville),https://maps.google.com/?cid=9317174526453361820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Next Plumbing & Heating,next-plumbing-heating-bryan,home_services,plumber,"1722 Broadmoor Dr #115, Bryan, TX 77802",Bryan,(979) 314-0898,,no_website,google_places,approved,approved,TX batch — no_website (College Station),https://maps.google.com/?cid=3087892024530464612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Buda Plumbing Experts,buda-plumbing-experts-buda,home_services,plumber,"2899 Business Park Dr, Buda, TX 78610",Buda,(737) 770-3436,,no_website,google_places,approved,approved,TX batch — no_website (Kyle),https://maps.google.com/?cid=2543999703600641281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
"Carrollton Plumbing Service, Inc.",carrollton-plumbing-service-inc-carrollton,home_services,plumber,"1448 Halsey Way #100, Carrollton, TX 75007",Carrollton,(972) 820-0565,https://www.carrolltonplumbingservice.com/?utm_source=google_business_profile&utm_medium=organic,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Carrollton),https://maps.google.com/?cid=3700697054082226612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Local Plumbers Carrollton texas,local-plumbers-carrollton-texas-carrollton,home_services,plumber,"3008 E Hebron Pkwy, Carrollton, TX 75010",Carrollton,(972) 827-7059,,no_website,google_places,approved,approved,TX batch — no_website (Carrollton),https://maps.google.com/?cid=1563347562556172744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
"Fairway Plumbing, LLC",fairway-plumbing-llc-cedar-park,home_services,plumber,"1320 Arrow Point Dr Surambirite 501 #TW137, Cedar Park, TX 78613",Cedar Park,(512) 278-1626,https://www.fairwayplumbing.net/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Cedar Park),https://maps.google.com/?cid=3082836239406642040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
SHOFFNER PLUMBING INC,shoffner-plumbing-inc-childress,home_services,plumber,"701 AVENUE D SE, CHILDRESS, TX 79201",Childress,(940) 937-2969,,no_website,tsbpe_verified,approved,approved,TX batch — no_website (Childress),https://maps.google.com/?cid=1521559424039772828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
H & A Plumbing,h-a-plumbing-college-station,home_services,plumber,"4562 Rock Prairie Rd W, College Station, TX 77845",College Station,(979) 690-8844,http://www.haplumbing.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (College Station),https://maps.google.com/?cid=10563701624486627126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
S.D.S. Plumbing LLC,s-d-s-plumbing-llc-college-station,home_services,plumber,"1013 Sun Meadow Ct, College Station, TX 77845",College Station,(979) 457-1121,https://sds-plumbing.com/?utm_sources=GMB,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (College Station),https://maps.google.com/?cid=13592318237768651610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Tug's Maroon Plumbing,tug-s-maroon-plumbing-college-station,home_services,plumber,"540 Graham Rd, College Station, TX 77845",College Station,(979) 985-3500,https://maroonplumbers.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (College Station),https://maps.google.com/?cid=14167877675048302664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Conroe Premier Plumbing,conroe-premier-plumbing-conroe,home_services,plumber,"310 Metcalf St, Conroe, TX 77301",Conroe,(254) 360-9897,https://nuvonrepairhub.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Conroe),https://maps.google.com/?cid=5949441120470236642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Swinner Plumbing,swinner-plumbing-conroe,home_services,plumber,"805 Toby Ln, Conroe, TX 77301",Conroe,(936) 672-1360,,no_website,google_places,approved,approved,TX batch — no_website (Conroe),https://maps.google.com/?cid=12228787283161154498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Copperas Cove Speedy Commercial Plumbing LLC,copperas-cove-speedy-commercial-plumbing-llc-copperas-cove,home_services,plumber,"1312 S FM 116 #1649, Copperas Cove, TX 76522",Copperas Cove,(254) 267-0913,,no_website,google_places,approved,approved,TX batch — no_website (Killeen),https://maps.google.com/?cid=6085708317828150515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Hand Plumbing Service Inc.,hand-plumbing-service-inc-corpus-christi,home_services,plumber,"7706 Slough Rd, Corpus Christi, TX 78414",Corpus Christi,(361) 850-7706,,no_website,google_places,approved,approved,TX batch — no_website (Corpus Christi),https://maps.google.com/?cid=9677334095766545626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Ocean Plumbing Inc,ocean-plumbing-inc-corpus-christi,home_services,plumber,"304 Glenoak Dr, Corpus Christi, TX 78418",Corpus Christi,(361) 937-7284,http://oceanplumbinginc.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Corpus Christi),https://maps.google.com/?cid=1636550692184654746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Owen Plumbing & Drain Inc,owen-plumbing-drain-inc-corpus-christi,home_services,plumber,"2418 Sacky Dr, Corpus Christi, TX 78415",Corpus Christi,(361) 854-0881,https://www.owenplumbing.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Corpus Christi),https://maps.google.com/?cid=9358617783558780510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Javier & Sons Plumbers,javier-sons-plumbers-desoto,home_services,plumber,"2701 Prince George Ave #7600, DeSoto, TX 75115",DeSoto,(469) 423-8182,,no_website,google_places,approved,approved,TX batch — no_website (DeSoto),https://maps.google.com/?cid=17375947197481833205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Taylor's Plumbing,taylor-s-plumbing-desoto,home_services,plumber,"1313 Indian Creek Dr, DeSoto, TX 75115",DeSoto,(214) 330-9785,,no_website,google_places,approved,approved,TX batch — no_website (DeSoto),https://maps.google.com/?cid=6665944168140229752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
GENE FORD PLUMBING INC,gene-ford-plumbing-inc-denison,home_services,plumber,"728 W. SHEPHERD, DENISON, TX 75020-5018",Denison,(903) 465-0888,,no_website,tsbpe_verified,approved,approved,TX batch — no_website (Denison),https://maps.google.com/?cid=3126438691150690159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
GP Plumbing,gp-plumbing-denton,home_services,plumber,"2207 Wellington Dr, Denton, TX 76209",Denton,(940) 390-4384,,no_website,google_places,approved,approved,TX batch — no_website (Denton),https://maps.google.com/?cid=1245386024347092052&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Micheal & Sons Plumbing,micheal-sons-plumbing-duncanville,home_services,plumber,"1550 Clark Rd #80F, Duncanville, TX 75137",Duncanville,(469) 425-7600,,no_website,google_places,approved,approved,TX batch — no_website (DeSoto),https://maps.google.com/?cid=15624735348013355169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
