company_name,slug,phone,address,city,state,zip,county,website,has_website,google_maps_url,business_status,license_number,license_status,license_expiration,contact_name,confirmation_level,confirmation_source,confirmation_notes,tsbpe_verified,phone_match,address_match
ADVANTAGE PLUMBING CO,advantage-plumbing-co-borger,(806) 395-8270,"618 N. FLORIDA ST., BORGER, TX 79007",Borger,TX,79007,HUTCHINSON,,False,https://maps.google.com/?cid=17333371608818803778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,28874,Current,07/31/2027,WILLIAM CLINE,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
BALLEW PLUMBING COMPANY,ballew-plumbing-company-rusk,(903) 683-4455,"129 FM 1248, RUSK, TX 75785",Rusk,TX,75785,CHEROKEE,,False,https://maps.google.com/?cid=11355481338135245167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,15327,Current,11/30/2026,EDWIN BALLEW,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
BAR-B PLUMBING CO INC,bar-b-plumbing-co-inc-kempner,(254) 547-2493,"3330 Lois Ln, Kempner, TX 76539",Kempner,TX,76539,LAMPASAS,,False,https://maps.google.com/?cid=2041022636812706927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18915,Current,02/28/2027,EDWARD BARBEE,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
BARTSCH SERVICES INC,bartsch-services-inc-the-woodlands,(281) 364-1944,"1440  LAKE FRONT CIRCLE, SUITE 155, THE WOODLANDS, TX 77380",The Woodlands,TX,77380,MONTGOMERY,,False,https://maps.google.com/?cid=14114866169545027570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37279,Current,07/31/2026,JEFFERY BARTSCH,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
DAN'S ALL AMERICAN PLUMBING LLC,dan-s-all-american-plumbing-llc-kirbyville,(409) 423-5773,"1033 Co Rd 407, Kirbyville, TX 75956",Kirbyville,TX,75956,JASPER,,False,https://maps.google.com/?cid=542009835207468825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,17203,Current,08/31/2026,DANNY PETERS,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
DANNY HRNCIRIK ELECTRIC,danny-hrncirik-electric-seymour,(940) 889-8843,"406 S Tackitt St, Seymour, TX 76380",Seymour,TX,76380,BAYLOR,,False,https://maps.google.com/?cid=3403672219213016438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,36539,Current,04/30/2027,DANNY HRNCIRIK,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
DAVID HERBORT PLUMBING AND GENERAL SERVICES LLC,david-herbort-plumbing-and-general-services-llc-fredericksbu,(830) 990-0996,"1800 CENTER POINT RD., FREDERICKSBURG, TX 78624-8119",Fredericksburg,TX,78624-8119,GILLESPIE,,False,https://maps.google.com/?cid=17102091726281081095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37094,Current,05/31/2027,DAVID HERBORT,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
DELLACO INC,dellaco-inc-midlothian,(972) 723-3811,"3031 ROBINSON RD STE F, MIDLOTHIAN, TX 76065",Midlothian,TX,76065,ELLIS,,False,https://maps.google.com/?cid=5329380573916361953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37929,Current,08/31/2026,TREVOR PALMER,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
"ED DAVILA PLUMBING, LLC",ed-davila-plumbing-llc-weimar,(979) 725-6298,"1035 SEDAN ROAD, WEIMAR, TX 78962",Weimar,TX,78962,COLORADO,,False,https://maps.google.com/?cid=6717714617597103694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,17070,Current,10/31/2026,EDWARD DAVILA,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
GENE FORD PLUMBING INC,gene-ford-plumbing-inc-denison,(903) 465-0888,"728 W. SHEPHERD, DENISON, TX 75020-5018",Denison,TX,75020-5018,GRAYSON,,False,https://maps.google.com/?cid=3126438691150690159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18940,Current,02/28/2027,MARK FOLTERMANN,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
"HARDIN COUNTY PLUMBING SERVICES, LLC.",hardin-county-plumbing-services-llc-kountze,(409) 246-4740,"105 W Crocker St, Kountze, TX 77625",Kountze,TX,77625,HARDIN,,False,https://maps.google.com/?cid=11529771469441862063&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,13512,Current,11/30/2026,VERNON DEAN,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
HARRIS PLUMBING HEAT & AIR,harris-plumbing-heat-air-seminole,(432) 758-6129,"301 SW 23RD, SEMINOLE, TX 79360",Seminole,TX,79360,GAINES,,False,https://maps.google.com/?cid=9284224390939837183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,15306,Current,07/31/2026,KENNITH HARRIS,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
J H PLUMBING LLC,j-h-plumbing-llc-boerne,(210) 274-6497,"106 RUSTY LANE, BOERNE, TX 78006",Boerne,TX,78006,KENDALL,,False,https://maps.google.com/?cid=4146878297791869792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,39412,Current,04/30/2027,JAMES HOEVER,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
KOTLAR PLUMBING CO INC,kotlar-plumbing-co-inc-edna,(361) 782-3536,"203 SOUTH EAST ST, EDNA, TX 77957",Edna,TX,77957,JACKSON,,False,https://maps.google.com/?cid=1579846140047681008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18271,Current,09/30/2026,LARRY KOTLAR,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
MOORE PLUMBING REPAIR LLC,moore-plumbing-repair-llc-fairfield,(903) 389-1844,"177 FCR 111, FAIRFIELD, TX 75840",Fairfield,TX,75840,FREESTONE,,False,https://maps.google.com/?cid=7160714959219041617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,35796,Current,06/30/2026,BRIAN MOORE,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
RILEY PLUMBING & MECHANICAL,riley-plumbing-mechanical-fort-worth,(817) 237-8104,"6704 AZLE AVENUE, FORT WORTH, TX 76135",Fort Worth,TX,76135,TARRANT,,False,https://maps.google.com/?cid=13268926982810398869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18265,Current,06/30/2026,ROBERT RILEY,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
"ROBERT RUSSELL PLUMBING, INC.",robert-russell-plumbing-inc-muenster,(940) 759-4155,"3814 Co Rd 302, Muenster, TX 76252",Muenster,TX,76252,COOKE,,False,https://maps.google.com/?cid=9790639343170576097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8728,Current,05/31/2027,ROBERT RUSSELL,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
SHIPLET PLUMBING,shiplet-plumbing-vernon,(940) 553-1397,"1710 STEPHENS ST, VERNON, TX 76384-8052",Vernon,TX,76384-8052,WILBARGER,,False,https://maps.google.com/?cid=10630238760180911651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18482,Current,07/31/2026,CHARLES SHIPLET,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
SHOFFNER PLUMBING INC,shoffner-plumbing-inc-childress,(940) 937-2969,"701 AVENUE D SE, CHILDRESS, TX 79201",Childress,TX,79201,CHILDRESS,,False,https://maps.google.com/?cid=1521559424039772828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,22711,Current,04/30/2027,TERRY SHOFFNER,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
A&S Plumbing,a-s-plumbing-brownsville,(956) 204-1645,"6944 Wild Olive Ln, Brownsville, TX 78526",Brownsville,TX,78526,,,False,https://maps.google.com/?cid=8846280326431006719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
A-Plus Plumbing Contractor,a-plus-plumbing-contractor-laredo,(956) 237-7810,"182 Old Milwaukee Rd, Laredo, TX 78043",Laredo,TX,78043,,,False,https://maps.google.com/?cid=4944507591328352192&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
AAA AUGER Plumbing Services,aaa-auger-plumbing-services-austin,(512) 928-0467,"8234 Ferguson Cutoff, Austin, TX 78724",Austin,TX,78724,,,False,https://maps.google.com/?cid=17693970885655317554&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Action Air Plumbing & Septic,action-air-plumbing-septic-lubbock,(806) 214-2722,"8211 Avenue D, Lubbock, TX 79404",Lubbock,TX,79404,,,False,https://maps.google.com/?cid=17194072896015002668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Alsop Plumbing,alsop-plumbing-killeen,(254) 699-6647,"4105 E Stan Schlueter Loop, Killeen, TX 76542",Killeen,TX,76542,,,False,https://maps.google.com/?cid=5974173547158573987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Amador and sons plumbing,amador-and-sons-plumbing-el-paso,(915) 487-0397,"4602 Durazno Ave, El Paso, TX 79905",El Paso,TX,79905,,,False,https://maps.google.com/?cid=3802337831645110702&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Arellano's Plumbing,arellano-s-plumbing-laredo,(956) 795-0751,"1217 Clark Blvd, Laredo, TX 78040",Laredo,TX,78040,,,False,https://maps.google.com/?cid=6602798396805551368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Arlington Plumbing Co,arlington-plumbing-co-arlington,(682) 217-1114,"1112 E Copeland Rd Ste 120, Arlington, TX 76011",Arlington,TX,76011,,,False,https://maps.google.com/?cid=4776198345230770325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Border Plumbing Services,border-plumbing-services-laredo,(956) 285-1540,"203 Rancho Grande, Laredo, TX 78043",Laredo,TX,78043,,,False,https://maps.google.com/?cid=4729308943134842634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
"Bud's Quality Plumbing, Inc.",bud-s-quality-plumbing-inc-harlingen,(956) 423-3421,"912 N Commerce St, Harlingen, TX 78550",Harlingen,TX,78550,,,False,https://maps.google.com/?cid=14573943275188620978&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Caleb's Plumbing,caleb-s-plumbing-brownsville,(956) 302-9210,"443 S Clubhouse Rd #317, Brownsville, TX 78521",Brownsville,TX,78521,,,False,https://maps.google.com/?cid=15596277055663236448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Carlos & Sons Plumbing,carlos-sons-plumbing-waco,(254) 277-2617,"3526 N 19th St #8000, Waco, TX 76708",Waco,TX,76708,,,False,https://maps.google.com/?cid=2741345511660635028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
"Carrollton Plumbing Service, Inc.",carrollton-plumbing-service-inc-carrollton,(972) 820-0565,"1448 Halsey Way #100, Carrollton, TX 75007",Carrollton,TX,75007,,,False,https://maps.google.com/?cid=3700697054082226612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Castro's Plumbing,castro-s-plumbing-midland,(432) 687-1816,"901 San Andres Dr, Midland, TX 79706",Midland,TX,79706,,,False,https://maps.google.com/?cid=11718616848613896249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
City Plumbing Co,city-plumbing-co-laredo,(956) 723-9513,"315 Iturbide St, Laredo, TX 78040",Laredo,TX,78040,,,False,https://maps.google.com/?cid=11586088307460848219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Copperas Cove Speedy Commercial Plumbing LLC,copperas-cove-speedy-commercial-plumbing-llc-copperas-cove,(254) 267-0913,"1312 S FM 116 #1649, Copperas Cove, TX 76522",Copperas Cove,TX,76522,,,False,https://maps.google.com/?cid=6085708317828150515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Cotton City Plumbing,cotton-city-plumbing-lubbock,(806) 441-4110,"1306 146th St, Lubbock, TX 79423",Lubbock,TX,79423,,,False,https://maps.google.com/?cid=14122116929879608832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Curtis & Sons Plumbing,curtis-sons-plumbing-harker-heights,(254) 271-0541,"303 S Amy Ln #4800, Harker Heights, TX 76548",Harker Heights,TX,76548,,,False,https://maps.google.com/?cid=6353614309705204306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Direct Source Plumbing,direct-source-plumbing-arlington,(817) 561-6400,"3216 W Park Row Dr, Arlington, TX 76013",Arlington,TX,76013,,,False,https://maps.google.com/?cid=4680488713154941287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
E Maldonado & Sons Plumbing Co,e-maldonado-sons-plumbing-co-laredo,(956) 724-3675,"506 Boise Way, Laredo, TX 78041",Laredo,TX,78041,,,False,https://maps.google.com/?cid=13324260547358574830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
El Paso Plumbing,el-paso-plumbing-el-paso,(915) 691-8291,"3114 Hamilton Ave, El Paso, TX 79930",El Paso,TX,79930,,,False,https://maps.google.com/?cid=3369892619566519041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Ellis & Sons Plumbing Heating,ellis-sons-plumbing-heating-midland,(432) 683-2679,"201 E Dengar Ave, Midland, TX 79705",Midland,TX,79705,,,False,https://maps.google.com/?cid=14014351057562400286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Emergency Commercial Plumbing Co,emergency-commercial-plumbing-co-el-paso,(915) 995-6909,"1111 Barranca Dr #9390, El Paso, TX 79935",El Paso,TX,79935,,,False,https://maps.google.com/?cid=15236277684646806071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
GP Plumbing,gp-plumbing-denton,(940) 390-4384,"2207 Wellington Dr, Denton, TX 76209",Denton,TX,76209,,,False,https://maps.google.com/?cid=1245386024347092052&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Gator Plumbing,gator-plumbing-los-fresnos,(956) 761-2620,"41786 FM510, Los Fresnos, TX 78566",Los Fresnos,TX,78566,,,False,https://maps.google.com/?cid=1235802922018173526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Goode Plumbing Inc,goode-plumbing-inc-midland,(432) 682-8071,"5608 S County Rd 1195, Midland, TX 79706",Midland,TX,79706,,,False,https://maps.google.com/?cid=12108214373502604542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Green Star Plumbing Company Grand Prairie-Plumber,green-star-plumbing-company-grand-prairie-plumber-grand-prai,(972) 559-0174,"1551 State Hwy 161, Grand Prairie, TX 75050",Grand Prairie,TX,75050,,,False,https://maps.google.com/?cid=14246105029552549772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Guevara's Plumbing,guevara-s-plumbing-san-benito,(956) 592-5142,"33969 FM510, San Benito, TX 78586",San Benito,TX,78586,,,False,https://maps.google.com/?cid=3251636302413082824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Hand Plumbing Service Inc.,hand-plumbing-service-inc-corpus-christi,(361) 850-7706,"7706 Slough Rd, Corpus Christi, TX 78414",Corpus Christi,TX,78414,,,False,https://maps.google.com/?cid=9677334095766545626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Hugo's Plumbing Service,hugo-s-plumbing-service-mcallen,(956) 503-8368,"3005 Providence Ave, McAllen, TX 78504",McAllen,TX,78504,,,False,https://maps.google.com/?cid=14088619552774690906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
LOPEZ PLUMBING,lopez-plumbing-brownsville,(956) 521-5906,"14 W 12th St, Brownsville, TX 78520",Brownsville,TX,78520,,,False,https://maps.google.com/?cid=5483654201801053225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
"Leak-Tek Plumbing, Heating & Air",leak-tek-plumbing-heating-air-lubbock,(806) 451-9966,"5821 50th St Unit C, Lubbock, TX 79424",Lubbock,TX,79424,,,False,https://maps.google.com/?cid=17638396491472296208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
Local Plumbers Carrollton texas,local-plumbers-carrollton-texas-carrollton,(972) 827-7059,"3008 E Hebron Pkwy, Carrollton, TX 75010",Carrollton,TX,75010,,,False,https://maps.google.com/?cid=1563347562556172744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,,,,,high,google_places,Google Places listing with phone and street address; no website listed,False,,
